age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
33,4,0,2,0,-255,1,1,0,11,8,82,9,306,1,1,no
39,1,2,1,0,631,1,0,0,12,8,57,2,344,8,1,no
33,7,2,1,0,100,1,0,0,14,8,11,8,297,7,1,no
25,7,1,1,0,51,1,1,0,7,8,159,2,357,2,0,no
33,0,1,1,0,1293,1,0,0,15,8,245,9,373,2,0,no
47,1,1,2,0,3745,0,0,0,7,8,113,1,200,1,0,no
34,1,1,0,0,170,1,1,1,17,0,599,4,275,7,1,no
32,4,2,2,0,933,1,0,0,12,8,147,4,307,1,0,no
31,8,2,2,0,25,1,0,0,8,8,85,2,368,2,0,no
31,9,2,1,0,1186,1,0,0,19,9,174,1,180,1,0,no
47,9,1,1,0,826,1,0,1,18,9,195,3,112,8,1,no
28,9,1,1,0,916,1,0,0,15,8,191,1,371,2,1,no
31,1,2,0,0,71,1,0,0,20,0,185,3,336,6,0,no
41,1,1,1,0,-56,1,0,0,13,0,137,1,333,2,1,no
53,2,1,0,0,1034,1,0,0,19,9,854,2,170,3,1,no
34,4,1,2,0,349,1,1,0,29,4,133,2,185,3,0,no
31,4,2,2,0,1539,1,0,0,30,6,107,2,756,2,1,no
46,7,0,1,0,-179,0,0,0,2,3,151,1,214,2,0,no
37,0,2,1,0,0,1,1,0,3,11,144,2,463,6,0,no
27,7,1,1,0,199,0,0,0,4,3,108,2,195,6,0,no
50,4,1,2,0,-470,1,0,0,8,8,506,2,170,3,0,no
34,2,1,1,0,3119,1,0,0,20,9,505,1,183,4,0,no
36,1,1,0,0,49,1,0,0,15,8,232,2,365,5,1,no
51,4,1,2,0,176,1,1,2,1,6,8,1,687,2,0,no
33,4,2,2,0,1373,1,0,0,5,8,17,5,349,2,0,no
39,1,1,0,0,467,1,0,0,16,0,232,1,335,1,0,no
41,1,1,0,0,164,1,0,0,12,8,150,4,330,11,1,no
40,0,1,1,0,3126,1,0,0,30,7,186,2,90,5,0,no
47,3,1,0,0,201,1,0,0,7,1,58,2,382,1,0,no
57,9,1,1,0,589,1,0,0,28,4,198,1,244,1,1,no
30,1,2,1,0,445,1,0,0,16,0,218,1,330,2,0,no
42,1,1,0,0,402,0,0,0,13,8,31,7,330,17,0,no
43,7,1,0,0,-88,1,1,0,17,0,313,1,147,2,0,no
32,0,2,1,0,45,1,1,0,14,8,908,3,344,7,1,no
33,0,2,1,0,289,0,0,0,3,3,515,3,6,13,1,no
26,1,2,1,0,-350,1,0,0,18,8,80,3,329,3,0,no
40,4,1,1,0,363,1,1,0,26,8,135,1,104,2,0,no
38,9,2,2,0,5122,1,0,0,20,9,370,1,184,1,0,no
20,8,2,0,0,0,0,0,0,2,9,69,4,182,4,0,no
53,4,1,2,0,-1112,1,0,0,13,8,53,3,308,1,0,no
42,1,1,0,0,-97,1,0,0,3,3,216,4,271,5,0,no
44,4,1,1,0,2897,0,0,0,5,0,296,1,180,4,1,no
39,7,0,1,0,1957,1,1,0,16,0,350,1,147,1,0,no
42,7,1,1,0,1027,1,0,1,16,0,63,2,150,4,0,no
40,7,1,1,0,87,1,1,0,21,9,116,2,113,4,0,no
33,4,1,2,0,22867,1,0,0,10,3,165,1,92,5,2,no
38,1,0,1,0,316,1,0,0,28,4,223,1,247,2,2,no
32,8,2,1,0,5836,0,0,0,2,11,281,2,493,2,0,no
37,1,1,0,0,403,1,0,0,8,8,318,2,338,1,2,no
38,0,1,1,0,-500,0,1,0,2,3,67,1,195,5,1,no
45,1,1,1,0,226,0,0,1,4,3,170,2,212,2,0,no
31,7,1,1,0,179,1,0,0,14,8,365,1,351,1,0,no
27,0,2,1,0,292,1,0,0,12,8,53,9,362,8,1,no
43,1,1,0,0,0,1,0,0,12,8,48,3,285,4,0,no
46,2,1,1,0,404,1,0,1,12,8,1388,7,347,2,0,no
36,6,1,0,0,1094,1,0,0,8,0,291,1,335,1,0,no
52,4,2,2,0,2290,0,0,0,30,0,195,2,268,2,1,no
36,0,1,1,0,498,1,0,0,29,4,151,1,253,1,0,no
37,0,1,1,0,529,1,0,0,16,11,234,1,149,2,1,no
57,9,1,0,0,1276,1,0,0,30,4,44,1,200,4,0,no
40,0,2,1,0,782,1,0,0,21,2,94,5,202,17,0,no
34,0,1,1,0,1467,1,0,0,17,0,113,1,332,2,0,no
39,4,0,2,0,4692,1,0,1,19,9,214,2,174,2,2,no
72,5,1,0,0,4657,0,0,0,27,11,132,4,94,16,1,no
54,3,0,0,0,2253,1,0,0,5,3,266,1,196,1,0,no
37,7,2,1,0,1175,1,0,0,15,8,102,1,333,2,0,no
41,9,2,2,0,-89,1,0,0,3,3,195,4,251,4,0,no
29,7,2,1,0,102,0,0,0,12,5,154,1,182,5,0,no
34,9,2,1,0,664,1,1,0,11,8,88,2,343,2,1,no
29,9,2,1,0,113,0,0,0,16,1,159,2,185,6,2,no
40,1,1,1,0,356,1,1,0,7,8,1254,3,365,1,0,no
54,1,1,0,0,3170,1,0,1,16,0,140,2,324,4,0,no
27,4,2,2,0,6791,0,0,1,22,7,174,2,229,28,2,no
20,8,2,0,0,134,0,0,0,12,5,273,1,277,3,1,no
25,7,2,1,0,-371,1,0,0,18,8,147,2,347,3,1,no
53,3,1,1,0,1182,1,0,0,7,11,82,1,293,1,0,no
40,9,1,1,0,1819,0,0,0,16,11,169,1,103,2,0,no
25,8,1,2,0,4923,1,1,0,4,8,78,4,74,14,0,no
31,1,1,0,0,99,1,0,0,17,0,193,2,322,1,1,no
55,6,0,1,0,1530,0,0,0,2,3,166,1,216,1,1,no
38,7,1,1,0,-349,1,0,0,20,0,111,2,328,5,0,no
34,9,1,1,0,966,1,0,0,18,8,16,4,273,7,1,no
35,9,0,2,0,1718,1,1,0,17,9,74,1,167,16,1,no
48,1,1,0,0,643,1,0,0,11,8,66,4,173,7,1,no
36,4,0,2,0,3837,1,0,0,17,9,184,1,193,1,2,no
32,4,1,2,0,3154,0,0,0,20,0,96,2,150,2,0,no
53,4,1,2,0,34230,1,1,0,7,8,279,1,358,9,1,no
37,7,1,1,0,343,1,1,0,7,8,104,1,304,7,0,no
40,7,1,1,0,1438,1,0,0,6,8,207,1,351,2,0,no
50,7,1,1,0,254,1,0,0,15,0,397,2,337,1,0,no
36,7,1,1,0,456,1,1,0,17,0,294,1,319,4,0,no
30,9,2,1,0,938,0,0,0,25,6,171,1,141,3,1,no
31,4,2,2,0,6542,1,0,0,21,9,71,3,192,2,1,no
57,5,0,0,0,698,0,0,1,9,2,135,3,191,2,0,no
40,0,1,1,0,0,1,0,0,3,3,561,1,201,1,0,no
41,1,1,1,0,1522,1,1,0,20,0,377,1,341,2,0,no
35,9,0,1,0,2823,1,0,0,2,6,102,4,96,2,0,no
60,0,1,1,0,-396,1,0,0,11,8,443,1,350,1,0,no
26,9,2,2,0,172,0,1,1,4,9,21,1,140,4,1,no
43,1,1,0,0,188,1,0,0,12,8,58,3,347,5,0,no
31,4,2,2,0,2590,0,0,0,23,11,103,2,484,2,1,no
33,1,1,1,0,686,1,1,1,14,8,30,6,343,12,1,no
34,0,2,1,0,395,1,0,0,11,8,150,2,364,8,0,no
57,4,0,2,0,442,0,0,0,5,3,41,1,253,3,0,no
41,4,1,0,0,733,1,0,0,7,8,69,1,335,7,0,no
34,9,2,2,0,144,1,1,0,21,5,213,3,89,16,0,no
33,7,0,1,0,1156,1,0,0,15,8,612,1,177,2,0,no
40,0,1,1,0,0,1,0,0,3,3,561,1,201,1,0,no
48,1,1,0,0,108,1,0,1,15,8,74,5,367,7,1,no
43,1,0,1,0,47,1,1,0,13,8,163,2,370,1,0,no
35,7,1,1,0,1659,1,0,0,3,3,149,3,215,1,0,no
29,1,1,3,0,486,1,0,0,6,8,422,1,363,1,0,no
36,4,2,2,0,1804,0,0,0,7,8,170,1,366,1,1,no
50,1,0,1,0,203,1,0,1,19,9,265,1,127,4,1,no
48,7,1,1,0,2877,1,0,0,18,9,77,1,168,1,0,no
56,1,1,1,0,659,1,0,0,2,3,148,1,188,3,0,no
47,0,2,1,0,1544,1,0,0,6,0,104,1,312,1,0,no
51,4,2,2,1,-55,1,0,0,11,8,281,2,266,6,0,no
45,4,1,2,0,273,1,0,0,2,6,163,1,95,2,0,no
37,10,1,1,0,2424,0,0,0,20,9,633,2,156,2,1,no
34,4,2,2,0,6707,1,0,0,20,0,16,3,154,4,1,no
51,1,1,0,0,1194,1,0,0,18,9,714,1,186,3,0,no
40,2,1,2,0,2644,1,0,0,21,9,110,2,185,1,0,no
31,1,1,1,0,631,1,0,0,20,0,211,2,152,2,0,no
37,4,2,2,0,0,1,0,0,13,8,109,1,344,1,0,no
45,0,1,3,0,2033,0,0,0,30,9,123,1,186,4,0,no
30,1,2,1,0,144,1,0,0,5,3,259,1,260,3,0,no
29,1,1,1,0,247,0,1,0,6,3,204,2,214,1,0,no
45,4,1,1,0,38,1,0,0,19,9,159,1,188,2,0,no
60,3,1,0,0,182,0,0,0,9,1,182,2,95,11,0,no
48,4,1,3,0,0,1,0,0,8,8,612,1,344,1,1,no
36,0,0,2,0,289,1,1,0,28,1,67,3,280,4,0,no
54,5,1,1,0,303,1,0,0,20,0,240,1,349,2,0,no
41,1,1,1,0,121,1,0,0,13,8,16,6,176,5,1,no
33,4,2,2,0,1373,1,0,0,5,8,17,5,349,2,0,no
49,9,1,2,0,196,0,0,0,4,3,9,7,163,24,1,no
39,1,1,1,0,171,1,1,0,8,8,153,1,353,1,0,no
36,0,2,1,0,135,1,0,0,29,4,263,2,192,3,1,no
36,9,1,1,0,23,1,0,0,8,8,152,2,347,1,0,no
40,7,1,1,0,5248,1,1,0,20,9,194,4,188,8,1,no
37,1,1,1,0,1165,1,0,0,11,8,304,3,173,7,0,no
29,1,1,1,0,37,1,0,0,11,8,138,3,353,1,1,no
51,1,1,0,0,42,1,0,0,12,8,51,2,342,3,0,no
39,1,2,3,0,10,1,0,1,15,8,23,3,346,10,0,no
43,1,1,1,0,902,1,0,0,7,0,91,1,328,1,0,no
40,0,2,1,0,782,1,0,0,21,2,94,5,202,17,0,no
38,1,1,1,0,1663,1,0,0,13,0,217,3,327,1,0,no
38,9,1,1,0,54,1,1,0,5,8,236,1,287,2,0,no
35,7,1,1,0,142,1,0,0,20,9,315,2,196,4,0,no
46,7,1,1,0,1550,1,0,0,16,0,126,2,149,8,0,no
35,4,1,2,0,0,1,0,0,7,0,139,1,243,2,1,no
31,1,1,3,0,-120,1,0,0,3,3,100,3,201,2,0,no
34,1,1,0,0,2720,1,0,0,21,9,147,2,179,3,0,no
24,8,2,1,0,486,0,0,0,26,3,281,2,270,2,1,no
43,9,1,1,0,69,1,1,0,7,5,156,1,260,2,0,no
37,4,1,2,0,0,0,0,0,11,7,129,4,107,2,0,no
39,1,2,1,0,519,1,1,0,5,8,180,3,166,15,0,no
43,4,1,2,0,9,1,0,1,8,8,142,3,358,3,0,no
51,1,1,0,0,377,1,0,1,3,3,143,4,272,1,0,no
41,9,1,1,0,2576,1,1,0,8,8,296,5,361,11,0,no
34,3,1,2,0,0,0,0,0,26,8,141,1,188,1,0,no
30,1,1,0,0,1101,1,1,0,19,9,779,2,175,1,0,no
44,7,1,1,0,1872,1,0,0,6,8,175,1,322,3,0,no
37,7,1,1,0,393,1,1,0,13,8,95,1,357,1,0,no
30,4,2,2,0,3773,1,0,0,9,3,75,4,258,1,0,no
52,0,2,3,0,872,1,0,1,18,8,82,6,335,1,1,no
45,4,1,2,0,2220,1,0,0,21,9,89,1,133,2,0,no
21,8,2,0,0,1596,0,0,0,26,1,115,1,93,2,0,no
28,9,1,1,0,232,1,1,0,29,4,72,1,261,1,0,no
29,7,1,1,0,399,0,0,0,18,2,454,6,199,1,0,no
57,9,1,0,0,1276,1,0,0,30,4,44,1,200,4,0,no
39,4,2,2,0,4023,1,0,0,29,4,126,2,238,8,1,no
39,4,2,2,0,633,0,0,0,19,9,105,2,133,3,0,no
37,4,0,1,0,1655,1,0,0,12,8,178,1,175,2,0,no
42,4,0,2,0,0,0,0,0,1,6,450,1,196,1,0,no
32,10,2,1,0,1249,1,0,0,20,9,160,1,171,4,1,no
33,9,1,1,0,1026,0,0,0,4,1,87,1,1,5,0,no
34,0,1,1,0,3185,1,0,0,20,9,93,1,191,1,0,no
43,1,2,0,0,181,1,0,0,7,8,174,1,343,2,0,no
39,1,1,0,0,315,1,0,0,15,8,259,3,353,3,0,no
21,0,2,1,0,66,1,0,0,15,8,31,1,330,2,0,no
32,10,2,2,0,685,1,0,0,29,10,262,1,204,1,1,no
32,9,1,2,0,8023,0,0,0,17,1,219,1,84,2,0,no
42,1,2,0,0,1628,1,0,0,5,3,119,1,195,8,2,no
50,1,1,0,0,1549,1,0,0,11,8,445,2,299,6,1,no
36,9,1,2,0,629,1,1,0,29,2,109,1,246,1,0,no
36,9,2,1,0,-206,1,0,0,14,8,419,1,360,4,0,no
44,9,2,1,0,451,0,0,0,11,3,203,1,183,2,2,no
43,7,1,0,0,2567,1,0,0,14,8,109,1,360,2,0,no
59,7,1,1,0,0,1,0,1,11,8,437,2,361,5,0,no
40,0,1,1,0,0,0,0,0,26,10,87,2,200,2,0,no
51,1,1,0,0,40,1,0,0,13,8,79,1,370,1,0,no
33,1,1,1,0,5164,0,0,0,13,1,238,2,265,1,0,no
27,1,2,1,0,20,1,0,0,15,8,175,1,364,3,1,no
37,1,1,0,0,403,1,0,0,8,8,318,2,338,1,2,no
49,4,1,2,0,1533,0,0,0,17,9,324,1,172,1,0,no
36,4,2,2,0,1804,0,0,0,7,8,170,1,366,1,1,no
57,9,2,1,0,3499,1,0,0,20,9,104,4,175,3,0,no
63,9,1,1,0,896,1,0,0,28,4,115,3,91,4,1,no
59,0,1,1,0,1455,1,0,0,28,4,222,2,191,1,0,no
42,1,0,0,0,1563,1,0,0,14,8,164,2,364,1,0,no
28,4,1,2,0,1918,0,0,0,18,10,333,1,616,1,0,no
56,1,1,1,0,1521,1,1,0,21,9,19,2,179,3,1,no
27,8,2,2,0,4869,1,0,0,15,8,258,2,343,4,1,no
33,1,2,1,0,1211,1,0,0,15,8,39,1,361,4,0,no
56,4,1,2,0,505,1,1,0,17,9,171,1,172,2,0,no
50,1,1,0,0,859,1,1,1,9,3,56,5,196,7,0,no
33,1,1,1,0,43,1,0,0,14,8,332,2,358,2,0,no
25,8,2,1,0,963,1,0,1,14,8,230,4,301,1,0,no
31,9,2,1,0,4888,1,0,1,5,8,475,4,166,2,0,no
39,9,1,1,0,625,1,0,0,17,0,185,1,317,2,0,no
45,4,1,2,0,96,1,0,0,20,9,167,1,127,1,0,no
39,4,1,2,0,246,1,0,0,25,8,217,1,306,8,0,no
34,1,0,2,0,12409,0,0,0,16,7,189,1,480,4,1,no
31,1,1,1,0,3653,1,1,0,21,9,252,1,168,4,0,no
44,9,1,1,0,7876,1,0,0,20,9,212,1,101,2,0,no
24,0,2,1,0,290,1,0,0,15,8,80,3,368,4,0,no
52,9,1,2,0,2506,0,0,0,16,5,377,1,228,3,0,no
32,4,1,2,0,1402,0,0,2,1,6,52,1,557,2,0,no
37,7,1,1,0,3,1,0,0,12,6,105,4,318,6,0,no
34,9,2,1,0,1259,1,0,0,6,8,379,2,169,1,0,no
52,3,1,1,0,1752,0,1,1,21,9,346,4,123,8,0,no
32,6,1,2,0,322,1,0,0,4,3,192,2,272,1,0,no
44,4,0,2,0,388,1,0,1,13,8,246,2,370,2,2,no
32,7,0,1,0,453,1,0,0,17,0,329,1,150,2,0,no
37,7,1,2,0,0,1,0,0,21,9,11,3,175,1,0,no
32,0,2,2,0,3188,0,0,0,5,3,65,2,242,1,1,no
41,4,1,2,0,326,0,0,0,6,3,163,1,182,2,0,no
44,1,1,1,0,167,1,0,0,15,8,79,2,373,1,0,no
36,4,1,2,0,-547,1,0,0,30,0,267,1,259,2,0,no
52,7,1,1,0,2904,1,0,0,15,0,201,6,272,3,0,no
34,4,2,2,0,28,1,0,0,14,8,175,1,358,2,0,no
34,4,1,2,0,1782,1,0,0,20,0,17,6,25,7,1,no
53,6,1,2,0,730,1,0,2,2,9,18,1,368,2,0,no
29,9,0,1,0,-95,1,0,0,2,3,42,7,228,1,1,no
32,9,2,1,1,-92,1,0,0,6,8,139,1,363,1,1,no
46,9,1,2,0,43,1,0,1,30,4,162,3,2,7,1,no
47,10,2,2,0,44,0,0,0,15,3,374,1,185,1,2,no
41,0,2,1,0,334,1,0,0,13,8,14,4,331,22,1,no
32,1,2,1,0,53,1,0,0,18,9,276,1,195,1,0,no
47,1,1,0,0,6150,1,0,0,13,8,444,2,174,2,0,no
40,1,1,1,0,679,1,0,0,17,0,642,2,304,1,0,no
47,1,1,1,0,676,1,0,0,29,4,110,1,184,4,1,no
52,6,1,1,0,371,1,0,1,4,3,50,1,208,1,1,no
47,9,1,1,0,0,1,0,0,30,0,81,1,164,1,0,no
31,6,1,1,0,2153,1,0,0,11,8,239,3,172,1,0,no
29,6,2,2,0,1457,1,0,0,7,0,89,1,314,1,1,no
39,9,1,1,0,6,1,0,0,18,8,122,3,357,4,0,no
80,3,1,1,0,499,0,0,1,13,0,224,2,393,4,0,no
47,3,2,2,0,3232,0,0,1,6,10,541,1,204,3,0,no
34,1,1,1,0,261,1,0,0,3,3,88,5,251,3,0,no
53,0,0,1,0,0,1,0,0,5,8,246,1,344,1,0,no
42,9,1,1,0,334,1,0,0,20,0,18,5,335,9,1,no
31,2,1,1,0,1539,1,1,0,20,9,67,6,177,9,0,no
48,1,1,0,0,-254,1,0,0,7,8,210,2,346,1,1,no
59,1,1,0,0,14,1,1,0,18,9,319,2,182,1,0,no
38,4,1,2,0,0,0,0,0,24,11,246,12,197,6,0,no
42,1,1,1,0,-256,1,0,0,17,0,576,1,318,2,0,no
36,1,1,0,0,356,1,1,0,12,8,692,4,172,4,1,no
28,7,2,1,0,805,1,0,0,7,8,148,5,336,7,1,no
31,4,2,2,0,2590,0,0,0,23,11,103,2,484,2,1,no
40,0,1,1,0,168,1,0,0,7,8,249,2,169,1,0,no
37,3,1,1,0,12939,1,1,0,3,3,77,3,202,9,0,no
28,4,2,2,0,730,1,0,0,26,1,78,6,85,5,1,no
56,1,1,0,0,420,1,0,0,29,4,129,1,265,1,0,no
38,1,1,0,0,3289,0,0,0,20,9,340,2,164,2,0,no
43,4,0,2,0,20,0,0,0,6,0,590,2,255,2,0,no
32,9,2,2,0,1527,1,0,0,9,3,172,1,92,3,0,no
32,0,2,2,0,3188,0,0,0,5,3,65,2,242,1,1,no
33,7,2,1,0,187,1,0,0,20,0,168,3,326,1,0,no
49,6,1,2,0,147,0,1,0,2,3,559,1,189,4,0,no
31,4,2,2,0,1130,1,0,0,17,0,224,3,74,4,0,no
26,9,2,1,0,4859,0,0,0,19,10,90,2,92,3,1,no
46,7,1,0,0,116,1,0,0,18,8,267,4,341,3,0,no
38,1,1,1,0,1663,1,0,0,13,0,217,3,327,1,0,no
36,9,1,2,0,202,0,0,0,1,6,206,1,192,1,0,no
28,4,2,2,0,6791,0,0,1,9,1,361,1,46,35,0,no
30,4,2,2,0,1243,1,0,1,13,9,86,1,174,1,0,no
56,4,1,2,0,935,1,0,0,8,8,209,2,172,1,0,no
40,4,1,0,0,738,1,1,0,2,0,399,2,258,3,0,no
45,1,1,1,0,54,1,0,0,7,8,279,1,367,1,0,no
32,2,1,2,0,964,1,0,0,19,9,130,1,120,2,0,no
47,1,1,0,0,6150,1,0,0,13,8,444,2,174,2,0,no
37,7,1,1,0,4760,1,0,0,8,8,182,2,169,2,0,no
47,9,0,2,0,477,1,0,1,7,8,973,1,366,1,0,no
65,5,1,0,0,2173,0,0,0,15,4,543,4,276,1,0,no
43,4,1,2,0,176,1,0,0,5,8,253,2,286,1,0,no
38,1,1,1,0,1731,1,1,0,14,8,162,2,350,4,0,no
27,1,2,3,0,-15,1,1,0,15,8,212,4,312,6,1,no
56,0,0,1,0,-429,0,1,0,19,9,120,2,119,4,0,no
46,2,2,2,0,1410,1,0,0,19,9,93,1,189,8,0,no
30,1,2,1,0,-61,0,0,0,29,4,111,2,196,1,0,no
56,5,1,1,0,3948,0,0,0,3,0,484,1,135,3,0,no
40,1,1,0,0,-214,1,0,0,16,0,348,2,266,1,1,no
42,6,1,1,0,2812,1,0,0,21,9,46,4,171,1,0,no
39,1,1,0,0,1433,1,0,0,8,8,182,2,366,1,1,no
55,3,1,1,0,167,1,0,0,12,8,178,3,357,7,0,no
43,0,2,1,0,426,1,0,0,11,8,76,2,304,2,0,no
59,1,1,0,0,-91,1,0,0,13,8,239,1,369,5,0,no
36,7,1,1,0,3064,1,0,1,26,1,240,3,107,4,0,no
30,9,2,1,0,426,1,0,1,17,9,127,4,111,6,0,no
28,10,1,1,0,293,1,0,0,20,0,230,1,329,3,0,no
44,1,1,1,0,1071,1,0,0,11,8,143,3,357,1,0,no
32,4,1,2,0,1230,1,0,0,4,3,35,3,253,4,0,no
34,4,1,2,0,273,1,0,0,20,9,308,1,188,1,2,no
36,9,1,2,0,202,0,0,0,1,10,237,1,122,2,0,no
35,4,0,1,0,124,1,0,0,16,0,48,4,146,5,0,no
46,6,1,3,0,-257,0,0,0,21,9,104,1,189,2,0,no
39,7,1,3,0,10189,1,0,0,18,9,186,2,123,2,0,no
36,9,1,2,0,202,0,0,0,1,6,206,1,192,1,0,no
57,4,1,2,0,0,0,1,0,30,4,209,2,197,2,1,no
44,4,2,1,0,-228,1,1,0,13,8,38,1,362,2,0,no
44,2,2,2,0,1136,1,1,0,3,0,345,2,249,7,1,no
36,9,2,1,0,-206,1,0,0,14,8,419,1,360,4,0,no
47,9,1,1,0,-75,1,0,0,4,3,57,1,247,1,1,no
72,5,2,2,0,1285,0,0,1,1,3,280,2,91,7,0,no
38,4,1,2,0,76,1,0,0,20,0,167,2,287,3,0,no
40,4,0,2,0,69,1,0,0,6,8,503,2,280,2,0,no
26,1,2,0,0,155,1,0,0,29,4,291,1,244,4,0,no
38,4,1,2,0,425,1,0,0,17,9,240,1,181,1,0,no
49,1,1,0,0,762,1,0,0,7,8,373,2,360,4,0,no
31,8,2,2,0,64,0,0,0,15,11,208,1,105,2,2,no
30,1,2,1,1,447,0,0,0,19,9,426,2,189,6,0,no
45,4,1,2,0,677,1,0,0,12,8,253,3,334,2,0,no
57,5,1,0,0,-464,1,0,0,4,3,75,1,190,6,0,no
