,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32360,58,retired,married,secondary,no,374,yes,yes,cellular,28,jan,223,1,196,1,failure,no
41027,41,blue-collar,married,secondary,no,-648,yes,no,cellular,12,may,104,3,172,2,failure,no
36069,37,management,married,tertiary,no,489,yes,no,cellular,3,apr,246,2,133,6,failure,no
30089,43,management,married,tertiary,no,13044,no,no,cellular,19,nov,215,1,93,4,failure,no
36998,37,management,married,tertiary,no,1594,yes,no,cellular,17,apr,110,1,260,5,failure,no
48441,31,management,single,tertiary,no,938,no,no,cellular,14,jun,472,1,384,3,failure,no
40792,33,management,divorced,tertiary,no,-255,yes,yes,cellular,11,may,82,9,306,1,other,no
41465,39,blue-collar,single,secondary,no,631,yes,no,cellular,12,may,57,2,344,8,other,no
42115,33,services,single,secondary,no,100,yes,no,cellular,14,may,11,8,297,7,other,no
39930,25,services,married,secondary,no,51,yes,yes,cellular,7,may,159,2,357,2,failure,no
43089,33,admin.,married,secondary,no,1293,yes,no,cellular,15,may,245,9,373,2,failure,no
48177,47,blue-collar,married,tertiary,no,3745,no,no,cellular,7,may,113,1,200,1,failure,no
37451,34,blue-collar,married,primary,no,170,yes,yes,telephone,17,apr,599,4,275,7,other,no
41485,32,management,single,tertiary,no,933,yes,no,cellular,12,may,147,4,307,1,failure,no
40433,31,student,single,tertiary,no,25,yes,no,cellular,8,may,85,2,368,2,failure,no
30056,31,technician,single,secondary,no,1186,yes,no,cellular,19,nov,174,1,180,1,failure,no
29865,47,technician,married,secondary,no,826,yes,no,telephone,18,nov,195,3,112,8,other,no
42667,28,technician,married,secondary,no,916,yes,no,cellular,15,may,191,1,371,2,other,no
37676,31,blue-collar,single,primary,no,71,yes,no,cellular,20,apr,185,3,336,6,failure,no
36474,41,blue-collar,married,secondary,no,-56,yes,no,cellular,13,apr,137,1,333,2,other,no
663,53,entrepreneur,married,primary,no,1034,yes,no,cellular,19,nov,854,2,170,3,other,no
32932,34,management,married,tertiary,no,349,yes,yes,cellular,29,jan,133,2,185,3,failure,no
48559,31,management,single,tertiary,no,1539,yes,no,cellular,30,jun,107,2,756,2,other,no
33484,46,services,divorced,secondary,no,-179,no,no,cellular,2,feb,151,1,214,2,failure,no
45929,37,admin.,single,secondary,no,0,yes,yes,cellular,3,sep,144,2,463,6,failure,no
34636,27,services,married,secondary,no,199,no,no,cellular,4,feb,108,2,195,6,failure,no
1176,50,management,married,tertiary,no,-470,yes,no,cellular,8,may,506,2,170,3,failure,no
30751,34,entrepreneur,married,secondary,no,3119,yes,no,cellular,20,nov,505,1,183,4,failure,no
43133,36,blue-collar,married,primary,no,49,yes,no,cellular,15,may,232,2,365,5,other,no
48369,51,management,married,tertiary,no,176,yes,yes,unknown,1,jun,8,1,687,2,failure,no
38934,33,management,single,tertiary,no,1373,yes,no,cellular,5,may,17,5,349,2,failure,no
36748,39,blue-collar,married,primary,no,467,yes,no,cellular,16,apr,232,1,335,1,failure,no
41051,41,blue-collar,married,primary,no,164,yes,no,cellular,12,may,150,4,330,11,other,no
47899,40,admin.,married,secondary,no,3126,yes,no,cellular,30,mar,186,2,90,5,failure,no
45215,47,housemaid,married,primary,no,201,yes,no,cellular,7,aug,58,2,382,1,failure,no
32280,57,technician,married,secondary,no,589,yes,no,cellular,28,jan,198,1,244,1,other,no
801,30,blue-collar,single,secondary,no,445,yes,no,cellular,16,apr,218,1,330,2,failure,no
41492,42,blue-collar,married,primary,no,402,no,no,cellular,13,may,31,7,330,17,failure,no
9,43,services,married,primary,no,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no
1863,32,admin.,single,secondary,no,45,yes,yes,cellular,14,may,908,3,344,7,other,no
34156,33,admin.,single,secondary,no,289,no,no,cellular,3,feb,515,3,6,13,other,no
43760,26,blue-collar,single,secondary,no,-350,yes,no,cellular,18,may,80,3,329,3,failure,no
44055,40,management,married,secondary,no,363,yes,yes,cellular,26,may,135,1,104,2,failure,no
30723,38,technician,single,tertiary,no,5122,yes,no,cellular,20,nov,370,1,184,1,failure,no
46618,20,student,single,primary,no,0,no,no,cellular,2,nov,69,4,182,4,failure,no
41927,53,management,married,tertiary,no,-1112,yes,no,cellular,13,may,53,3,308,1,failure,no
3703,42,blue-collar,married,primary,no,-97,yes,no,cellular,3,feb,216,4,271,5,failure,no
47928,44,management,married,secondary,no,2897,no,no,cellular,5,apr,296,1,180,4,other,no
36784,39,services,divorced,secondary,no,1957,yes,yes,cellular,16,apr,350,1,147,1,failure,no
36918,42,services,married,secondary,no,1027,yes,no,telephone,16,apr,63,2,150,4,failure,no
31435,40,services,married,secondary,no,87,yes,yes,cellular,21,nov,116,2,113,4,failure,no
47492,33,management,married,tertiary,no,22867,yes,no,cellular,10,feb,165,1,92,5,success,no
32273,38,blue-collar,divorced,secondary,no,316,yes,no,cellular,28,jan,223,1,247,2,success,no
49171,32,student,single,secondary,no,5836,no,no,cellular,2,sep,281,2,493,2,failure,no
2699,37,blue-collar,married,primary,no,403,yes,no,cellular,8,may,318,2,338,1,success,no
33599,38,admin.,married,secondary,no,-500,no,yes,cellular,2,feb,67,1,195,5,other,no
34651,45,blue-collar,married,secondary,no,226,no,no,telephone,4,feb,170,2,212,2,failure,no
42121,31,services,married,secondary,no,179,yes,no,cellular,14,may,365,1,351,1,failure,no
41353,27,admin.,single,secondary,no,292,yes,no,cellular,12,may,53,9,362,8,other,no
40997,43,blue-collar,married,primary,no,0,yes,no,cellular,12,may,48,3,285,4,failure,no
41488,46,entrepreneur,married,secondary,no,404,yes,no,telephone,12,may,1388,7,347,2,failure,no
36308,36,self-employed,married,primary,no,1094,yes,no,cellular,8,apr,291,1,335,1,failure,no
38473,52,management,single,tertiary,no,2290,no,no,cellular,30,apr,195,2,268,2,other,no
32691,36,admin.,married,secondary,no,498,yes,no,cellular,29,jan,151,1,253,1,failure,no
49339,37,admin.,married,secondary,no,529,yes,no,cellular,16,sep,234,1,149,2,other,no
33356,57,technician,married,primary,no,1276,yes,no,cellular,30,jan,44,1,200,4,failure,no
47057,40,admin.,single,secondary,no,782,yes,no,cellular,21,dec,94,5,202,17,failure,no
37241,34,admin.,married,secondary,no,1467,yes,no,cellular,17,apr,113,1,332,2,failure,no
30590,39,management,divorced,tertiary,no,4692,yes,no,telephone,19,nov,214,2,174,2,success,no
49415,72,retired,married,primary,no,4657,no,no,cellular,27,sep,132,4,94,16,other,no
34937,54,housemaid,divorced,primary,no,2253,yes,no,cellular,5,feb,266,1,196,1,failure,no
1786,37,services,single,secondary,no,1175,yes,no,cellular,15,may,102,1,333,2,failure,no
34228,41,technician,single,tertiary,no,-89,yes,no,cellular,3,feb,195,4,251,4,failure,no
48658,29,services,single,secondary,no,102,no,no,cellular,12,jul,154,1,182,5,failure,no
40541,34,technician,single,secondary,no,664,yes,yes,cellular,11,may,88,2,343,2,other,no
49092,29,technician,single,secondary,no,113,no,no,cellular,16,aug,159,2,185,6,success,no
39974,40,blue-collar,married,secondary,no,356,yes,yes,cellular,7,may,1254,3,365,1,failure,no
36871,54,blue-collar,married,primary,no,3170,yes,no,telephone,16,apr,140,2,324,4,failure,no
47863,27,management,single,tertiary,no,6791,no,no,telephone,22,mar,174,2,229,28,success,no
48656,20,student,single,primary,no,134,no,no,cellular,12,jul,273,1,277,3,other,no
43654,25,services,single,secondary,no,-371,yes,no,cellular,18,may,147,2,347,3,other,no
45987,53,housemaid,married,secondary,no,1182,yes,no,cellular,7,sep,82,1,293,1,failure,no
46113,40,technician,married,secondary,no,1819,no,no,cellular,16,sep,169,1,103,2,failure,no
38897,25,student,married,tertiary,no,4923,yes,yes,cellular,4,may,78,4,74,14,failure,no
906,31,blue-collar,married,primary,no,99,yes,no,cellular,17,apr,193,2,322,1,other,no
33689,55,self-employed,divorced,secondary,no,1530,no,no,cellular,2,feb,166,1,216,1,other,no
37820,38,services,married,secondary,no,-349,yes,no,cellular,20,apr,111,2,328,5,failure,no
43684,34,technician,married,secondary,no,966,yes,no,cellular,18,may,16,4,273,7,other,no
28816,35,technician,divorced,tertiary,no,1718,yes,yes,cellular,17,nov,74,1,167,16,other,no
40884,48,blue-collar,married,primary,no,643,yes,no,cellular,11,may,66,4,173,7,other,no
29095,36,management,divorced,tertiary,no,3837,yes,no,cellular,17,nov,184,1,193,1,success,no
37870,32,management,married,tertiary,no,3154,no,no,cellular,20,apr,96,2,150,2,failure,no
39836,53,management,married,tertiary,no,34230,yes,yes,cellular,7,may,279,1,358,9,other,no
39711,37,services,married,secondary,no,343,yes,yes,cellular,7,may,104,1,304,7,failure,no
2185,40,services,married,secondary,no,1438,yes,no,cellular,6,may,207,1,351,2,failure,no
1386,50,services,married,secondary,no,254,yes,no,cellular,15,apr,397,2,337,1,failure,no
37047,36,services,married,secondary,no,456,yes,yes,cellular,17,apr,294,1,319,4,failure,no
48513,30,technician,single,secondary,no,938,no,no,cellular,25,jun,171,1,141,3,other,no
31841,31,management,single,tertiary,no,6542,yes,no,cellular,21,nov,71,3,192,2,other,no
46985,57,retired,divorced,primary,no,698,no,no,telephone,9,dec,135,3,191,2,failure,no
34027,40,admin.,married,secondary,no,0,yes,no,cellular,3,feb,561,1,201,1,failure,no
37800,41,blue-collar,married,secondary,no,1522,yes,yes,cellular,20,apr,377,1,341,2,failure,no
44467,35,technician,divorced,secondary,no,2823,yes,no,cellular,2,jun,102,4,96,2,failure,no
40557,60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443,1,350,1,failure,no
28643,26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,21,1,140,4,other,no
3985,43,blue-collar,married,primary,no,188,yes,no,cellular,12,may,58,3,347,5,failure,no
2860,31,management,single,tertiary,no,2590,no,no,cellular,23,sep,103,2,484,2,other,no
42597,33,blue-collar,married,secondary,no,686,yes,yes,telephone,14,may,30,6,343,12,other,no
40873,34,admin.,single,secondary,no,395,yes,no,cellular,11,may,150,2,364,8,failure,no
34932,57,management,divorced,tertiary,no,442,no,no,cellular,5,feb,41,1,253,3,failure,no
39771,41,management,married,primary,no,733,yes,no,cellular,7,may,69,1,335,7,failure,no
45100,34,technician,single,tertiary,no,144,yes,yes,cellular,21,jul,213,3,89,16,failure,no
42732,33,services,divorced,secondary,no,1156,yes,no,cellular,15,may,612,1,177,2,failure,no
34027,40,admin.,married,secondary,no,0,yes,no,cellular,3,feb,561,1,201,1,failure,no
43132,48,blue-collar,married,primary,no,108,yes,no,telephone,15,may,74,5,367,7,other,no
41896,43,blue-collar,divorced,secondary,no,47,yes,yes,cellular,13,may,163,2,370,1,failure,no
33977,35,services,married,secondary,no,1659,yes,no,cellular,3,feb,149,3,215,1,failure,no
39580,29,blue-collar,married,unknown,no,486,yes,no,cellular,6,may,422,1,363,1,failure,no
39852,36,management,single,tertiary,no,1804,no,no,cellular,7,may,170,1,366,1,other,no
30301,50,blue-collar,divorced,secondary,no,203,yes,no,telephone,19,nov,265,1,127,4,other,no
29444,48,services,married,secondary,no,2877,yes,no,cellular,18,nov,77,1,168,1,failure,no
33596,56,blue-collar,married,secondary,no,659,yes,no,cellular,2,feb,148,1,188,3,failure,no
3534,47,admin.,single,secondary,no,1544,yes,no,cellular,6,apr,104,1,312,1,failure,no
40727,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
44411,45,management,married,tertiary,no,273,yes,no,cellular,2,jun,163,1,95,2,failure,no
31133,37,unemployed,married,secondary,no,2424,no,no,cellular,20,nov,633,2,156,2,other,no
38143,34,management,single,tertiary,no,6707,yes,no,cellular,20,apr,16,3,154,4,other,no
29397,51,blue-collar,married,primary,no,1194,yes,no,cellular,18,nov,714,1,186,3,failure,no
31541,40,entrepreneur,married,tertiary,no,2644,yes,no,cellular,21,nov,110,2,185,1,failure,no
37905,31,blue-collar,married,secondary,no,631,yes,no,cellular,20,apr,211,2,152,2,failure,no
41853,37,management,single,tertiary,no,0,yes,no,cellular,13,may,109,1,344,1,failure,no
3377,45,admin.,married,unknown,no,2033,no,no,cellular,30,nov,123,1,186,4,failure,no
34756,30,blue-collar,single,secondary,no,144,yes,no,cellular,5,feb,259,1,260,3,failure,no
35102,29,blue-collar,married,secondary,no,247,no,yes,cellular,6,feb,204,2,214,1,failure,no
30011,45,management,married,secondary,no,38,yes,no,cellular,19,nov,159,1,188,2,failure,no
49003,60,housemaid,married,primary,no,182,no,no,cellular,9,aug,182,2,95,11,failure,no
3008,48,management,married,unknown,no,0,yes,no,cellular,8,may,612,1,344,1,other,no
45843,36,admin.,divorced,tertiary,no,289,yes,yes,cellular,28,aug,67,3,280,4,failure,no
37815,54,retired,married,secondary,no,303,yes,no,cellular,20,apr,240,1,349,2,failure,no
1380,41,blue-collar,married,secondary,no,121,yes,no,cellular,13,may,16,6,176,5,other,no
38934,33,management,single,tertiary,no,1373,yes,no,cellular,5,may,17,5,349,2,failure,no
34554,49,technician,married,tertiary,no,196,no,no,cellular,4,feb,9,7,163,24,other,no
40246,39,blue-collar,married,secondary,no,171,yes,yes,cellular,8,may,153,1,353,1,failure,no
32800,36,admin.,single,secondary,no,135,yes,no,cellular,29,jan,263,2,192,3,other,no
40485,36,technician,married,secondary,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no
31345,40,services,married,secondary,no,5248,yes,yes,cellular,20,nov,194,4,188,8,other,no
40966,37,blue-collar,married,secondary,no,1165,yes,no,cellular,11,may,304,3,173,7,failure,no
40538,29,blue-collar,married,secondary,no,37,yes,no,cellular,11,may,138,3,353,1,other,no
2019,51,blue-collar,married,primary,no,42,yes,no,cellular,12,may,51,2,342,3,failure,no
42776,39,blue-collar,single,unknown,no,10,yes,no,telephone,15,may,23,3,346,10,failure,no
36206,43,blue-collar,married,secondary,no,902,yes,no,cellular,7,apr,91,1,328,1,failure,no
47057,40,admin.,single,secondary,no,782,yes,no,cellular,21,dec,94,5,202,17,failure,no
1521,38,blue-collar,married,secondary,no,1663,yes,no,cellular,13,apr,217,3,327,1,failure,no
39049,38,technician,married,secondary,no,54,yes,yes,cellular,5,may,236,1,287,2,failure,no
31311,35,services,married,secondary,no,142,yes,no,cellular,20,nov,315,2,196,4,failure,no
36838,46,services,married,secondary,no,1550,yes,no,cellular,16,apr,126,2,149,8,failure,no
36245,35,management,married,tertiary,no,0,yes,no,cellular,7,apr,139,1,243,2,other,no
3828,31,blue-collar,married,unknown,no,-120,yes,no,cellular,3,feb,100,3,201,2,failure,no
32214,34,blue-collar,married,primary,no,2720,yes,no,cellular,21,nov,147,2,179,3,failure,no
47677,24,student,single,secondary,no,486,no,no,cellular,26,feb,281,2,270,2,other,no
48612,43,technician,married,secondary,no,69,yes,yes,cellular,7,jul,156,1,260,2,failure,no
4141,37,management,married,tertiary,no,0,no,no,cellular,11,mar,129,4,107,2,failure,no
39198,39,blue-collar,single,secondary,no,519,yes,yes,cellular,5,may,180,3,166,15,failure,no
40150,43,management,married,tertiary,no,9,yes,no,telephone,8,may,142,3,358,3,failure,no
3850,51,blue-collar,married,primary,no,377,yes,no,telephone,3,feb,143,4,272,1,failure,no
40470,41,technician,married,secondary,no,2576,yes,yes,cellular,8,may,296,5,361,11,failure,no
44134,34,housemaid,married,tertiary,no,0,no,no,cellular,26,may,141,1,188,1,failure,no
30337,30,blue-collar,married,primary,no,1101,yes,yes,cellular,19,nov,779,2,175,1,failure,no
39507,44,services,married,secondary,no,1872,yes,no,cellular,6,may,175,1,322,3,failure,no
41577,37,services,married,secondary,no,393,yes,yes,cellular,13,may,95,1,357,1,failure,no
35411,30,management,single,tertiary,no,3773,yes,no,cellular,9,feb,75,4,258,1,failure,no
43532,52,admin.,single,unknown,no,872,yes,no,telephone,18,may,82,6,335,1,other,no
31707,45,management,married,tertiary,no,2220,yes,no,cellular,21,nov,89,1,133,2,failure,no
45820,21,student,single,primary,no,1596,no,no,cellular,26,aug,115,1,93,2,failure,no
3119,28,technician,married,secondary,no,232,yes,yes,cellular,29,jan,72,1,261,1,failure,no
47041,29,services,married,secondary,no,399,no,no,cellular,18,dec,454,6,199,1,failure,no
33356,57,technician,married,primary,no,1276,yes,no,cellular,30,jan,44,1,200,4,failure,no
33138,39,management,single,tertiary,no,4023,yes,no,cellular,29,jan,126,2,238,8,other,no
30556,39,management,single,tertiary,no,633,no,no,cellular,19,nov,105,2,133,3,failure,no
41072,37,management,divorced,secondary,no,1655,yes,no,cellular,12,may,178,1,175,2,failure,no
44335,42,management,divorced,tertiary,no,0,no,no,cellular,1,jun,450,1,196,1,failure,no
30965,32,unemployed,single,secondary,no,1249,yes,no,cellular,20,nov,160,1,171,4,other,no
48934,33,technician,married,secondary,no,1026,no,no,cellular,4,aug,87,1,1,5,failure,no
30759,34,admin.,married,secondary,no,3185,yes,no,cellular,20,nov,93,1,191,1,failure,no
39904,43,blue-collar,single,primary,no,181,yes,no,cellular,7,may,174,1,343,2,failure,no
42997,39,blue-collar,married,primary,no,315,yes,no,cellular,15,may,259,3,353,3,failure,no
43000,21,admin.,single,secondary,no,66,yes,no,cellular,15,may,31,1,330,2,failure,no
46573,32,unemployed,single,tertiary,no,685,yes,no,cellular,29,oct,262,1,204,1,other,no
45615,32,technician,married,tertiary,no,8023,no,no,cellular,17,aug,219,1,84,2,failure,no
3593,42,blue-collar,single,primary,no,1628,yes,no,cellular,5,feb,119,1,195,8,success,no
40904,50,blue-collar,married,primary,no,1549,yes,no,cellular,11,may,445,2,299,6,other,no
3633,36,technician,married,tertiary,no,629,yes,yes,cellular,29,dec,109,1,246,1,failure,no
42294,36,technician,single,secondary,no,-206,yes,no,cellular,14,may,419,1,360,4,failure,no
47524,44,technician,single,secondary,no,451,no,no,cellular,11,feb,203,1,183,2,success,no
42393,43,services,married,primary,no,2567,yes,no,cellular,14,may,109,1,360,2,failure,no
40927,59,services,married,secondary,no,0,yes,no,telephone,11,may,437,2,361,5,failure,no
46493,40,admin.,married,secondary,no,0,no,no,cellular,26,oct,87,2,200,2,failure,no
41594,51,blue-collar,married,primary,no,40,yes,no,cellular,13,may,79,1,370,1,failure,no
45548,33,blue-collar,married,secondary,no,5164,no,no,cellular,13,aug,238,2,265,1,failure,no
43023,27,blue-collar,single,secondary,no,20,yes,no,cellular,15,may,175,1,364,3,other,no
2699,37,blue-collar,married,primary,no,403,yes,no,cellular,8,may,318,2,338,1,success,no
28724,49,management,married,tertiary,no,1533,no,no,cellular,17,nov,324,1,172,1,failure,no
39852,36,management,single,tertiary,no,1804,no,no,cellular,7,may,170,1,366,1,other,no
31394,57,technician,single,secondary,no,3499,yes,no,cellular,20,nov,104,4,175,3,failure,no
47309,63,technician,married,secondary,no,896,yes,no,cellular,28,jan,115,3,91,4,other,no
32456,59,admin.,married,secondary,no,1455,yes,no,cellular,28,jan,222,2,191,1,failure,no
42392,42,blue-collar,divorced,primary,no,1563,yes,no,cellular,14,may,164,2,364,1,failure,no
49557,28,management,married,tertiary,no,1918,no,no,cellular,18,oct,333,1,616,1,failure,no
32201,56,blue-collar,married,secondary,no,1521,yes,yes,cellular,21,nov,19,2,179,3,other,no
43238,27,student,single,tertiary,no,4869,yes,no,cellular,15,may,258,2,343,4,other,no
42774,33,blue-collar,single,secondary,no,1211,yes,no,cellular,15,may,39,1,361,4,failure,no
29113,56,management,married,tertiary,no,505,yes,yes,cellular,17,nov,171,1,172,2,failure,no
35341,50,blue-collar,married,primary,no,859,yes,yes,telephone,9,feb,56,5,196,7,failure,no
394,33,blue-collar,married,secondary,no,43,yes,no,cellular,14,may,332,2,358,2,failure,no
42242,25,student,single,secondary,no,963,yes,no,telephone,14,may,230,4,301,1,failure,no
39217,31,technician,single,secondary,no,4888,yes,no,telephone,5,may,475,4,166,2,failure,no
37410,39,technician,married,secondary,no,625,yes,no,cellular,17,apr,185,1,317,2,failure,no
30831,45,management,married,tertiary,no,96,yes,no,cellular,20,nov,167,1,127,1,failure,no
44023,39,management,married,tertiary,no,246,yes,no,cellular,25,may,217,1,306,8,failure,no
47825,34,blue-collar,divorced,tertiary,no,12409,no,no,cellular,16,mar,189,1,480,4,other,no
31740,31,blue-collar,married,secondary,no,3653,yes,yes,cellular,21,nov,252,1,168,4,failure,no
31099,44,technician,married,secondary,no,7876,yes,no,cellular,20,nov,212,1,101,2,failure,no
43151,24,admin.,single,secondary,no,290,yes,no,cellular,15,may,80,3,368,4,failure,no
48730,52,technician,married,tertiary,no,2506,no,no,cellular,16,jul,377,1,228,3,failure,no
48375,32,management,married,tertiary,no,1402,no,no,unknown,1,jun,52,1,557,2,failure,no
44744,37,services,married,secondary,no,3,yes,no,cellular,12,jun,105,4,318,6,failure,no
39598,34,technician,single,secondary,no,1259,yes,no,cellular,6,may,379,2,169,1,failure,no
31534,52,housemaid,married,secondary,no,1752,no,yes,telephone,21,nov,346,4,123,8,failure,no
34648,32,self-employed,married,tertiary,no,322,yes,no,cellular,4,feb,192,2,272,1,failure,no
41901,44,management,divorced,tertiary,no,388,yes,no,telephone,13,may,246,2,370,2,success,no
37394,32,services,divorced,secondary,no,453,yes,no,cellular,17,apr,329,1,150,2,failure,no
32199,37,services,married,tertiary,no,0,yes,no,cellular,21,nov,11,3,175,1,failure,no
